,fdc_id,data_type,description,food_category_id,publication_date
272,2341032,survey_fndds_food,"Ice cream, NFS",,2022-10-28
273,2341033,survey_fndds_food,"Ice cream, vanilla",,2022-10-28
274,2341034,survey_fndds_food,"Ice cream, vanilla, with additional ingredients",,2022-10-28
275,2341035,survey_fndds_food,"Ice cream, chocolate",,2022-10-28
276,2341036,survey_fndds_food,"Ice cream, chocolate, with additional ingredients",,2022-10-28
277,2341037,survey_fndds_food,"Ice cream, soft serve, vanilla",,2022-10-28
278,2341038,survey_fndds_food,"Ice cream, soft serve, chocolate",,2022-10-28
279,2341039,survey_fndds_food,"Gelato, vanilla",,2022-10-28
280,2341040,survey_fndds_food,"Gelato, chocolate",,2022-10-28
281,2341041,survey_fndds_food,"Ice cream bar, vanilla",,2022-10-28
282,2341042,survey_fndds_food,"Ice cream bar, vanilla, chocolate coated",,2022-10-28
283,2341043,survey_fndds_food,Ice cream candy bar,,2022-10-28
284,2341044,survey_fndds_food,"Ice cream bar, chocolate",,2022-10-28
285,2341045,survey_fndds_food,"Ice cream sandwich, vanilla",,2022-10-28
286,2341046,survey_fndds_food,"Ice cream sandwich, chocolate",,2022-10-28
287,2341047,survey_fndds_food,Ice cream cookie sandwich,,2022-10-28
288,2341048,survey_fndds_food,"Ice cream cone, scooped, vanilla",,2022-10-28
289,2341049,survey_fndds_food,"Ice cream cone, scooped, vanilla, waffle cone",,2022-10-28
290,2341050,survey_fndds_food,"Ice cream cone, NFS",,2022-10-28
291,2341051,survey_fndds_food,"Ice cream cone, scooped, chocolate",,2022-10-28
292,2341052,survey_fndds_food,"Ice cream cone, scooped, chocolate, waffle cone",,2022-10-28
293,2341053,survey_fndds_food,"Ice cream cone, soft serve, vanilla",,2022-10-28
294,2341054,survey_fndds_food,"Ice cream cone, soft serve, chocolate",,2022-10-28
295,2341055,survey_fndds_food,"Ice cream cone, soft serve, vanilla, waffle cone",,2022-10-28
296,2341056,survey_fndds_food,"Ice cream cone, soft serve, chocolate, waffle cone",,2022-10-28
297,2341057,survey_fndds_food,"Ice cream cone, vanilla, prepackaged",,2022-10-28
298,2341058,survey_fndds_food,"Ice cream cone, chocolate, prepackaged",,2022-10-28
300,2341060,survey_fndds_food,"Ice cream soda, chocolate",,2022-10-28
301,2341061,survey_fndds_food,"Ice cream sundae, NFS",,2022-10-28
302,2341062,survey_fndds_food,"Ice cream sundae, fruit topping",,2022-10-28
303,2341063,survey_fndds_food,Banana split,,2022-10-28
304,2341064,survey_fndds_food,"Ice cream sundae, hot fudge topping",,2022-10-28
305,2341065,survey_fndds_food,"Ice cream sundae, caramel topping",,2022-10-28
306,2341066,survey_fndds_food,"Ice cream, fried",,2022-10-28
307,2341067,survey_fndds_food,"Light ice cream, NFS",,2022-10-28
308,2341068,survey_fndds_food,"Light ice cream, vanilla",,2022-10-28
309,2341069,survey_fndds_food,"Light ice cream, chocolate",,2022-10-28
311,2341071,survey_fndds_food,"Light ice cream sandwich, vanilla",,2022-10-28
312,2341072,survey_fndds_food,"Light ice cream sandwich, chocolate",,2022-10-28
313,2341073,survey_fndds_food,"Light ice cream bar, vanilla",,2022-10-28
314,2341074,survey_fndds_food,"Light ice cream bar, vanilla, chocolate coated",,2022-10-28
315,2341075,survey_fndds_food,"Light ice cream bar, chocolate",,2022-10-28
316,2341076,survey_fndds_food,Creamsicle,,2022-10-28
317,2341077,survey_fndds_food,Fudgesicle,,2022-10-28
318,2341078,survey_fndds_food,"Light ice cream cone, vanilla, prepackaged",,2022-10-28
319,2341079,survey_fndds_food,"Light ice cream cone, chocolate, prepackaged",,2022-10-28
